"CustomerID","Recency","Frequency","Monetary","putlerSegment","kmeansSegment"
"12347",-0.888632049079004,0.220797646376097,0.291579840762594,"Champions","2"
"12348",-0.165308244928096,-0.109414696535629,-0.0559505913850349,"AtRisk","2"
"12349",-0.730095324881545,-0.439627039447355,-0.0534936012163754,"PotentialLoyalist","2"
"12350",2.16319989172209,-0.439627039447355,-0.194204980570208,"Lost","5"
"12352",-0.551741510159403,0.330868427346672,-0.0767376234224926,"LoyalCustomers","2"
"12353",1.11289409391392,-0.439627039447355,-0.219053123388655,"Lost","6"
"12354",1.39033336125947,-0.439627039447355,-0.0992400725250214,"Lost","5"
"12355",1.21197954653733,-0.439627039447355,-0.174244203719945,"Lost","6"
"12356",-0.69046114383218,-0.219485477506205,0.0710955191627027,"LoyalCustomers","2"
"12357",-0.581467145946427,-0.439627039447355,0.521149340189484,"NeedingAttention","2"
"12358",-0.898540594341346,-0.32955625847678,-0.117548339000892,"PotentialLoyalist","2"
"12359",-0.839089322767298,0.110726865405521,0.52572943116858,"LoyalCustomers","2"
"12360",-0.393204785961944,-0.219485477506205,0.0486704936794719,"LoyalCustomers","2"
"12361",1.93530335068824,-0.439627039447355,-0.208661421986003,"Lost","5"
"12362",-0.878723503816663,0.881222332199549,0.334595919746935,"Champions","1"
"12363",0.171582293991505,-0.32955625847678,-0.163041973802768,"Hibernating","6"
"12364",-0.839089322767298,-0.109414696535629,-0.083670666581817,"LoyalCustomers","2"
"12365",1.9749375317376,-0.439627039447355,-0.191024563458732,"Lost","5"
"12367",-0.868814958554322,-0.439627039447355,-0.211564807709678,"RecentCustomers","2"
"12370",-0.403113331224285,-0.109414696535629,0.184600964541653,"LoyalCustomers","2"
"12371",-0.323844969125556,-0.439627039447355,-0.0449757933495454,"AboutToSleep","2"
"12372",-0.204942425977461,-0.219485477506205,-0.0851296179079634,"AtRisk","2"
"12373",2.17310843698443,-0.439627039447355,-0.190551553534584,"Lost","5"
"12374",-0.660735508045157,-0.439627039447355,-0.154461259245258,"PotentialLoyalist","2"
"12375",-0.888632049079004,-0.219485477506205,-0.184403634264703,"PotentialLoyalist","2"
"12377",2.21274261803379,-0.32955625847678,-0.0425369493416588,"AtRisk","5"
"12378",0.369753199238329,-0.439627039447355,0.255120574537552,"AtRisk","6"
"12379",-0.105856973354049,-0.219485477506205,-0.136029598876132,"AtRisk","2"
"12380",-0.700369689094521,0.000656084434946162,0.063368883905574,"LoyalCustomers","2"
"12381",-0.868814958554322,-0.109414696535629,-0.0564078746365136,"LoyalCustomers","2"
"12383",0.914723188667095,0.110726865405521,-0.0341667302491156,"AtRisk","6"
"12384",-0.631009872258133,-0.219485477506205,-0.180684881050297,"PotentialLoyalist","2"
"12386",2.4307306138053,-0.32955625847678,-0.181200232016249,"Lost","5"
"12388",-0.759820960668569,0.110726865405521,0.106568843985747,"LoyalCustomers","2"
"12390",-0.125674063878732,-0.439627039447355,-0.168747126749788,"Hibernating","2"
"12391",-0.700369689094521,-0.439627039447355,-0.174063951856267,"Promising","2"
"12393",-0.19503388071512,-0.109414696535629,-0.0383657518519798,"AtRisk","2"
"12394",-0.284210788076191,-0.32955625847678,-0.099109420167456,"NeedingAttention","2"
"12395",-0.759820960668569,1.1013638941407,0.0922478939037228,"LoyalCustomers","1"
"12397",-0.561650055421745,-0.32955625847678,0.0381263645263274,"NeedingAttention","2"
"12398",-0.462564602798333,-0.439627039447355,-0.0561417309451768,"AboutToSleep","2"
"12399",0.270667746614917,-0.109414696535629,-0.104774651560776,"AtRisk","6"
"12401",2.0938400748857,-0.439627039447355,-0.221436319170171,"Lost","5"
"12402",2.29201098013252,-0.439627039447355,-0.206157251799334,"Lost","5"
"12403",-0.422930421748968,-0.439627039447355,-0.182434170948811,"AboutToSleep","2"
"12405",0.558015559222811,-0.439627039447355,-0.0616182422664578,"Hibernating","6"
"12406",-0.69046114383218,-0.219485477506205,0.167066934258763,"LoyalCustomers","2"
"12407",-0.422930421748968,0.000656084434946162,-0.0474968999529361,"LoyalCustomers","2"
"12408",-0.591375691208768,0.330868427346672,0.0832098960947345,"LoyalCustomers","2"
"12409",-0.135582609141073,0.220797646376097,1.10778568412222,"AtRisk","2"
"12410",2.07402298436102,-0.219485477506205,-0.166782502410102,"AtRisk","5"
"12412",-0.175216790190438,-0.219485477506205,-0.0915606172859024,"AtRisk","2"
"12413",-0.254485152289167,-0.109414696535629,-0.14802300140301,"NeedingAttention","2"
"12414",1.24170518232435,-0.219485477506205,-0.176299558863497,"Lost","6"
"12415",-0.670644053307498,2.09200092287588,14.727235434265,"LoyalCustomers","3"
"12417",-0.878723503816663,0.771151551228973,0.151951182334882,"Champions","1"
"12418",0.201307929778528,-0.439627039447355,-0.148938777650019,"Hibernating","6"
"12420",-0.284210788076191,-0.439627039447355,-0.157188022337409,"AboutToSleep","2"
"12421",-0.759820960668569,-0.109414696535629,-0.152512361578242,"PotentialLoyalist","2"
"12422",0.0328626603187277,-0.219485477506205,-0.147126581060826,"AtRisk","2"
"12423",-0.908449139603687,0.440939208317247,-0.0333441042940745,"LoyalCustomers","2"
"12424",0.696735192895588,-0.32955625847678,-0.0167887569488723,"AtRisk","6"
"12425",-0.135582609141073,-0.439627039447355,-0.135798537762289,"Hibernating","2"
"12426",1.01380864129051,-0.439627039447355,-0.168034587503437,"Lost","6"
"12427",-0.799455141717934,0.000656084434946162,-0.159367981118268,"PotentialLoyalist","2"
"12428",-0.660735508045157,0.661080770258398,0.540303217757375,"LoyalCustomers","1"
"12429",-0.819272232242616,-0.109414696535629,0.180089828973494,"LoyalCustomers","2"
"12430",-0.482381693323015,-0.439627039447355,-0.20364098417215,"AboutToSleep","2"
"12431",-0.561650055421745,1.43157623705243,0.533696805491964,"LoyalCustomers","1"
"12432",-0.492290238585356,-0.109414696535629,0.297546298424745,"LoyalCustomers","2"
"12433",-0.908449139603687,0.220797646376097,1.38831807120796,"Champions","1"
"12434",-0.0761313375670256,-0.109414696535629,-0.137251440368178,"AtRisk","2"
"12435",-0.125674063878732,-0.32955625847678,0.717396439716951,"AtRisk","2"
"12436",0.0724968413680925,-0.439627039447355,-0.177920615892548,"Lost","6"
"12437",-0.898540594341346,1.541647018023,0.30157958509255,"Champions","1"
"12438",-0.76972950593091,-0.32955625847678,0.0686058659046518,"PotentialLoyalist","2"
"12441",2.71807842641319,-0.439627039447355,-0.211002276725716,"Lost","5"
"12442",-0.878723503816663,-0.439627039447355,-0.212392272640925,"RecentCustomers","2"
